G6A06,B,Why should wire-wound resistors not be used in RF circuits?,A. The resistor’s tolerance value would not be adequate,B. The resistor’s inductance could make circuit performance unpredictable,C. The resistor could overheat,D. The resistor’s internal capacitance would detune the circuit
G7A08,C,Which of the following is characteristic of a switchmode power supply as compared to a linear power supply?,A. Faster switching time makes higher output voltage possible,B. Fewer circuit components are required,C. High-frequency operation allows the use of smaller components,D. Inherently more stable
G8A08,D,Which of the following is an effect of overmodulation?,A. Insufficient audio,B. Insufficient bandwidth,C. Frequency drift,D. Excessive bandwidth
G8B05,C,Which intermodulation products are closest to the original signal frequencies?,A. Second harmonics,B. Even-order,C. Odd-order,D. Intercept point
G0B02,C,"According to the National Electrical Code, what is the minimum wire size that may be used safely for wiring with a 20-ampere circuit breaker?",A. AWG number 20,B. AWG number 16,C. AWG number 12,D. AWG number 8
G6B05,D,What is an advantage of using a ferrite core toroidal inductor?,A. Large values of inductance may be obtained,B. The magnetic properties of the core may be optimized for a specific range of frequencies,C. Most of the magnetic field is contained in the core,D. All these choices are correct
G0B12,C,What is the purpose of a power supply interlock?,A. To prevent unauthorized changes to the circuit that would void the manufacturer’s warranty,B. To shut down the unit if it becomes too hot,C. To ensure that dangerous voltages are removed if the cabinet is opened,D. To shut off the power supply if too much voltage is produced
G7B11,B,For which of the following modes is a Class C power stage appropriate for amplifying a modulated signal?,A. SSB,B. FM,C. AM,D. All these choices are correct
G9A01,A,Which of the following factors determine the characteristic impedance of a parallel conductor feed line?,A. The distance between the centers of the conductors and the radius of the conductors,B. The distance between the centers of the conductors and the length of the line,C. The radius of the conductors and the frequency of the signal,D. The frequency of the signal and the length of the line
G9A05,B,How does the attenuation of coaxial cable change with increasing frequency?,A. Attenuation is independent of frequency,B. Attenuation increases,C. Attenuation decreases,D. Attenuation follows Marconi’s Law of Attenuation
G1E03,A,What is required to conduct communications with a digital station operating under automatic control outside the automatic control band segments?,A. The station initiating the contact must be under local or remote control,B. The interrogating transmission must be made by another automatically controlled station,C. No third-party traffic may be transmitted,D. The control operator of the interrogating station must hold an Amateur Extra class license
G5A05,D,How does an inductor react to AC?,"A. As the frequency of the applied AC increases, the reactance decreases","B. As the amplitude of the applied AC increases, the reactance increases","C. As the amplitude of the applied AC increases, the reactance decreases","D. As the frequency of the applied AC increases, the reactance increases"
G9A10,D,What standing wave ratio results from connecting a 50-ohm feed line to a 10-ohm resistive load?,A. 2:1,B. 1:2,C. 1:5,D. 5:1
G6A04,C,Which of the following is characteristic of an electrolytic capacitor?,A. Tight tolerance,B. Much less leakage than any other type,C. High capacitance for a given volume,D. Inexpensive RF capacitor
G5B03,B,How many watts of electrical power are consumed if 400 VDC is supplied to an 800-ohm load?,A. 0.5 watts,B. 200 watts,C. 400 watts,D. 3200 watts
G3A03,C,Approximately how long does it take the increased ultraviolet and X-ray radiation from a solar flare to affect radio propagation on Earth?,A. 28 days,B. 1 to 2 hours,C. 8 minutes,D. 20 to 40 hours
G5C14,D,Which of the following components should be added to an inductor to increase the inductance?,A. A capacitor in series,B. A capacitor in parallel,C. An inductor in parallel,D. An inductor in series
G4B13,C,Which of the following can be measured with an antenna analyzer?,A. Front-to-back ratio of an antenna,B. Power output from a transmitter,C. Impedance of coaxial cable,D. Gain of a directional antenna
G5C09,C,What is the capacitance of three 100-microfarad capacitors connected in series?,A. 0.33 microfarads,B. 3.0 microfarads,C. 33.3 microfarads,D. 300 microfarads
G2E14,D,What could be wrong if you cannot decode an RTTY or other FSK signal even though it is apparently tuned in properly?,A. The mark and space frequencies may be reversed,B. You may have selected the wrong baud rate,C. You may be listening on the wrong sideband,D. All these choices are correct
G3A10,C,What causes HF propagation conditions to vary periodically in a 26- to 28-day cycle?,A. Long term oscillations in the upper atmosphere,B. Cyclic variation in Earth’s radiation belts,C. Rotation of the Sun’s surface layers around its axis,D. The position of the Moon in its orbit
G2B10,B,Which of the following is good amateur practice for net management?,A. Always use multiple sets of phonetics during check-in,B. Have a backup frequency in case of interference or poor conditions,C. Transmit the full net roster at the beginning of every session,D. All these choices are correct
G5B01,B,What dB change represents a factor of two increase or decrease in power?,A. Approximately 2 dB,B. Approximately 3 dB,C. Approximately 6 dB,D. Approximately 9 dB
G8C15,C,What does an FT8 signal report of +3 mean?,A. The signal is 3 times the noise level of an equivalent SSB signal,B. The signal is S3 (weak signals),C. The signal-to-noise ratio is equivalent to +3dB in a 2.5 kHz bandwidth,D. The signal is 3 dB over S9
