G2A05,C,Which mode of voice communication is most commonly used on the HF amateur bands?,Frequency modulation,Double sideband,Single sideband,Single phase modulation
G2D01,A,What is the Volunteer Monitor Program?,Amateur volunteers who are formally enlisted to monitor the airwaves for rules violations,Amateur volunteers who conduct amateur licensing examinations,Amateur volunteers who conduct frequency coordination for amateur VHF repeaters,Amateur volunteers who use their station equipment to help civil defense organizations in times of emergency
G9B03,D,Which of the following best describes the radiation pattern of a quarter-wave ground-plane vertical antenna?,Bi-directional in azimuth,Isotropic,Hemispherical,Omnidirectional in azimuth
E6D12,C,What causes inductor saturation?,Operation at too high a frequency,Selecting a core with low permeability,Operation at excessive magnetic flux,Selecting a core with excessive permittivity
G2B02,B,What is the first thing you should do if you are communicating with another amateur station and hear a station in distress break in?,Inform your local emergency coordinator,Acknowledge the station in distress and determine what assistance may be needed,Immediately decrease power to avoid interfering with the station in distress,Immediately cease all transmissions
G5C12,B,What is the capacitance of a 20-microfarad capacitor connected in series with a 50-microfarad capacitor?,0.07 microfarads,14.3 microfarads,70 microfarads,"1,000 microfarads"
E2E04,D,Which of the following is characteristic of the FST4 mode?,Four-tone Gaussian frequency shift keying,Variable transmit/receive periods,Seven different tone spacings,All these choices are correct
E6F03,D,What is the most common configuration of an optoisolator or optocoupler?,A lens and a photomultiplier,A frequency-modulated helium-neon laser,An amplitude-modulated helium-neon laser,An LED and a phototransistor
G3A13,C,What does the A-index measure?,The relative position of sunspots on the surface of the Sun,The amount of polarization of the Sun’s electric field,The long-term stability of Earth’s geomagnetic field,"The solar radio flux at Boulder, Colorado"
T7B04,D,Which of the following might be the cause of low RF power output from a solid-state transceiver?,Poor amplifier noise figure,Poor amplifier linearity,Low SWR,High SWR
T1F08,A,What is the definition of third-party communications?,A message from a control operator to another amateur station control operator on behalf of another person,Amateur radio communications where three stations are in communications with one another,Operation when the transmitting equipment is licensed to a person other than the control operator,Temporary authorization for an unlicensed person to transmit on the amateur bands for technical experiments
G7A07,A,What is the output waveform of an unfiltered full-wave rectifier connected to a resistive load?,A series of DC pulses at twice the frequency of the AC input,A series of DC pulses at the same frequency as the AC input,A sine wave at half the frequency of the AC input,A steady DC voltage
T7D10,A,"What reading indicates that an ohmmeter is connected across a large, discharged capacitor?",Increasing resistance with time,Decreasing resistance with time,Steady full-scale reading,Alternating between open and short circuit
T6D03,C,Which of the following is a reason to use shielded wire?,To decrease the resistance of DC power connections,To increase the current carrying capability of the wire,To prevent coupling of unwanted signals to or from the wire,To reduce receiver overload
E4C08,D,An SDR receiver is overloaded when input signals exceed what level?,One-half of the maximum sample rate,One-half of the maximum sampling buffer size,The maximum count value of the analog-to-digital converter,The reference voltage of the analog-to-digital converter
G0B10,A,Which of the following is a danger from lead-tin solder?,Lead can contaminate food if hands are not washed carefully after handling the solder,High voltages can cause lead-tin solder to disintegrate suddenly,"Tin in the solder can “cold flow,” causing shorts in the circuit",RF energy can convert the lead into a poisonous gas
E7H10,B,What information is contained in the lookup table of a direct digital synthesizer (DDS)?,The phase relationship between a reference oscillator and the output waveform,Amplitude values that represent the desired waveform,The phase relationship between a voltage-controlled oscillator and the output waveform,Frequently used receiver and transmitter frequencies
G4D06,A,How much change in signal strength is typically represented by one S unit?,6 dB,12 dB,15 dB,18 dB
G7B08,B,How is the efficiency of an RF power amplifier determined?,Divide the DC input power by the DC output power,Divide the RF output power by the DC input power,Multiply the RF input power by the reciprocal of the RF output power,Add the RF input power to the DC output power
T6B08,D,What does the abbreviation FET stand for?,Frequency Emission Transmitter,Fast Electron Transistor,Free Electron Transmitter,Field Effect Transistor
